"","x"
"1","ImpE2"
"2","CG11899"
"3","Argk"
"4","ImpE3"
"5","wbl"
"6","Hsp23"
"7","CG6287"
"8","CG9628"
"9","CG2852"
"10","lncRNA:CR34335"
"11","Pdi"
"12","CG15905"
"13","pio"
"14","Inx3"
"15","Eip78C"
"16","stai"
"17","Syp"
"18","bip1"
"19","Spn43Aa"
"20","Hr4"
"21","Oscillin"
"22","Hsp27"
"23","Cat"
"24","St2"
"25","Hsp67Ba"
"26","ImpE1"
"27","GV1"
"28","ogre"
"29","CG14257"
"30","CG3823"
"31","CG4586"
"32","br"
"33","Rtnl1"
"34","CG4374"
"35","Spn100A"
"36","eIF4A"
"37","CG17032"
"38","CG31075"
"39","Calr"
"40","nmo"
"41","lft"
"42","CG31997"
"43","CG11686"
"44","CG6770"
"45","Tom"
"46","CG5758"
"47","GNBP3"
"48","lncRNA:CR43432"
"49","Lac"
"50","Inx2"
"51","NijA"
"52","GstO3"
"53","betaTub60D"
"54","tna"
"55","CG31121"
"56","Ostgamma"
"57","Diap1"
"58","pum"
"59","CG17271"
"60","Sod3"
"61","Had1"
"62","CG5390"
"63","CG7675"
"64","Sans"
"65","CG17672"
"66","CG33774"
"67","kud"
"68","CG15282"
"69","MFS14"
"70","OstDelta"
"71","Lamp1"
"72","mav"
"73","lncRNA:CR44811"
"74","pdgy"
"75","CG11905"
"76","Idh"
"77","CG33978"
"78","Fkbp14"
"79","CG32276"
"80","neo"
"81","miple2"
"82","CG5885"
"83","CG14301"
"84","CG2493"
"85","Tom7"
"86","Catsup"
"87","CaBP1"
"88","CG8031"
"89","CBP"
"90","ergic53"
"91","kek1"
"92","CG11438"
"93","Ost48"
"94","grh"
"95","Nep2"
"96","CG8860"
"97","TRAM"
"98","CG32447"
"99","CG33303"
"100","CG7637"
"101","sbb"
"102","Spn77Ba"
"103","CG9689"
"104","MSBP"
"105","mth"
"106","CG4914"
"107","CG4928"
"108","CG41128"
"109","Acbp1"
"110","CG17754"
"111","Ugt302K1"
"112","CG10359"
"113","fok"
"114","CG4455"
"115","E2f1"
"116","Spase25"
"117","klu"
"118","CG9416"
"119","Sf3b5"
"120","CG33977"
"121","CG12880"
"122","hid"
"123","KdelR"
"124","CrebA"
"125","CG11275"
"126","Spase12"
"127","l(3)neo38"
"128","Cln7"
"129","CG14439"
"130","CG9427"
"131","Tapdelta"
"132","Mnn1"
"133","CG1161"
"134","glec"
"135","Spp"
"136","ERp60"
"137","Wnt2"
"138","Spn88Ea"
"139","CG11486"
"140","Hsc70-3"
"141","Agpat3"
"142","Cht2"
"143","cindr"
"144","Manf"
"145","Gnpnat"
"146","Stt3B"
"147","Eip75B"
"148","Pdcd4"
"149","Hr78"
"150","Fas3"
"151","Maf1"
"152","Xbp1"
"153","kune"
"154","Sec23"
"155","alt"
"156","bai"
"157","Crk"
"158","SP1029"
"159","CG11882"
"160","Msr-110"
"161","modSP"
"162","mrva"
"163","CG4612"
"164","CG13887"
"165","CG11069"
"166","grnd"
"167","lncRNA:CR31044"
"168","CG12213"
"169","Sb"
"170","luna"
"171","Cpr66D"
"172","HSPC300"
"173","Arl4"
"174","CG15168"
"175","pcs"
"176","CG32982"
"177","CG40160"
"178","hdly"
"179","Ubc6"
"180","CG10005"
"181","mthl5"
"182","knk"
"183","magu"
"184","shf"
"185","Pino"
"186","Mkp3"
"187","emc"
"188","ara"
"189","E(spl)malpha-BFM"
"190","salm"
"191","eyg"
"192","sc"
"193","CG9691"
"194","robo2"
"195","vvl"
"196","hth"
"197","hh"
"198","mirr"
"199","Dr"
"200","nkd"
"201","Dll"
"202","Phk-3"
"203","Ama"
"204","ImpL2"
"205","chinmo"
"206","CG10527"
"207","CG1648"
"208","Aldh"
"209","fru"
"210","SPARC"
"211","LamC"
"212","CG15093"
"213","SP1173"
"214","CNBP"
"215","Chd64"
"216","CG14984"
"217","Imp"
"218","Jafrac1"
"219","His3.3A"
"220","ab"
"221","sqd"
"222","RpL34a"
"223","rgn"
"224","CG1572"
"225","yellow-c"
"226","Cam"
"227","Nop60B"
"228","dpy"
"229","Atf3"
"230","Cpr49Ah"
"231","Nacalpha"
"232","Adk2"
"233","hoip"
"234","ps"
"235","Pdp1"
"236","GstD3"
"237","Cyt-c-p"
"238","BthD"
"239","nop5"
"240","CG30159"
"241","Flo1"
"242","CCT2"
"243","COX4"
"244","CG9336"
"245","CG4038"
"246","baf"
"247","hdc"
"248","Msp300"
"249","Idgf6"
"250","CG1943"
"251","CG6767"
"252","Trx-2"
"253","dj-1beta"
"254","CG9782"
"255","CG15784"
"256","eIF2alpha"
"257","REG"
"258","HP4"
"259","CG17765"
"260","Desat1"
"261","Mgstl"
"262","Vajk3"
"263","bnb"
"264","CG9008"
"265","Vajk2"
